"GO.ID","Ontology","Term","result"
"GO:0010200","BP","response to chitin","1.3e-20"
"GO:0010286","BP","heat acclimation","0.000034"
"GO:0006355","BP","regulation of transcription, DNA-templated","0.000065"
"GO:0009409","BP","response to cold","0.00021"
"GO:0050691","BP","regulation of defense response to virus by host","0.00035"
"GO:0009611","BP","response to wounding","0.0024"
"GO:0002237","BP","response to molecule of bacterial origin","0.0025"
"GO:0009414","BP","response to water deprivation","0.0029"
"GO:0000162","BP","tryptophan biosynthetic process","0.0049"
"GO:1905039","BP","carboxylic acid transmembrane transport","0.0052"
"GO:0008361","BP","regulation of cell size","0.0071"
"GO:0032501","BP","multicellular organismal process","0.013"
"GO:0046942","BP","carboxylic acid transport","0.015"
"GO:0006839","BP","mitochondrial transport","0.017"
"GO:0009631","BP","cold acclimation","0.017"
"GO:0009408","BP","response to heat","0.019"
"GO:0046164","BP","alcohol catabolic process","0.019"
"GO:0051865","BP","protein autoubiquitination","0.021"
"GO:0010120","BP","camalexin biosynthetic process","0.021"
"GO:0045892","BP","negative regulation of transcription, DNA-templated","0.024"
"GO:0009845","BP","seed germination","0.024"
"GO:0046855","BP","inositol phosphate dephosphorylation","0.024"
"GO:0034613","BP","cellular protein localization","0.027"
"GO:0031331","BP","positive regulation of cellular catabolic process","0.033"
"GO:0006914","BP","autophagy","0.033"
"GO:0050832","BP","defense response to fungus","0.036"
"GO:0033037","BP","polysaccharide localization","0.037"
"GO:0010193","BP","response to ozone","0.043"
"GO:0009751","BP","response to salicylic acid","0.045"
"GO:0010411","BP","xyloglucan metabolic process","0.048"
"GO:0005634","CC","nucleus","0.046"
"GO:0003700","MF","DNA-binding transcription factor activity","0.000092"
"GO:0000976","MF","transcription regulatory region sequence-specific DNA binding","0.0051"
"GO:0046943","MF","carboxylic acid transmembrane transporter activity","0.019"
"GO:0008514","MF","organic anion transmembrane transporter activity","0.025"
"GO:0005267","MF","potassium channel activity","0.036"
"GO:0008194","MF","UDP-glycosyltransferase activity","0.043"
"GO:0016645","MF","oxidoreductase activity, acting on the CH-NH group of donors","0.049"
