"","gene","gen4","gen2","gen4.higher"
"1","gene-LOC103829776",75.992939488524,82.3361260519434,FALSE
"2","gene-LOC103831480",96.3920539435776,102.705045604156,FALSE
"3","gene-LOC103832083",22.5226114562579,108.376762991509,FALSE
"4","gene-LOC103832085",6.14594264019015,1.22075596219374,TRUE
"5","gene-LOC103834983",113.256015563071,116.653692679681,FALSE
"6","gene-LOC103840128",18.7464980548687,4.510395846855,TRUE
"7","gene-LOC103840400",13.422933222505,0.88558468875916,TRUE
"8","gene-LOC103840511",1.98803928957051,15.8440681732916,FALSE
"9","gene-LOC103841381",5.49656580921871,18.9405877624257,FALSE
"10","gene-LOC103841401",1.09211702987482,22.415573230786,FALSE
"11","gene-LOC103843283",6.99424685488135,6.81012533058761,TRUE
"12","gene-LOC103844851",7.7737874238764,88.3684198661086,FALSE
